fid,Src,Dest,Heading,Parent_Layer,Steps,Sheltered,Distance,Time_Cost,geometry_type,coordinates
3,AS2-0312,AS2-0312-Entrance,S,AS2_L3_ROOMS,0,T,3,2,LineString,"[[11551741.612854093, 144194.76793034284], [11551740.657708261, 144192.35493034282]]"
4,AS2-0312-Entrance,AS2-Level3-Stair2-Entrance,E,AS2_L3_ROOMS,0,T,26,19,LineString,"[[11551740.657708261, 144192.35493034282], [11551765.592041595, 144183.60780534265]]"
4,AS2-Level3-Stair2-Entrance,AS2-0312-Entrance,W,AS2_L3_ROOMS,0,T,26,19,LineString,"[[11551765.592041595, 144183.60780534265], [11551740.657708261, 144192.35493034282]]"
5,AS2-Level3-Stair2-Entrance,AS2-Level3-Stair2,E,AS2_L3_ROOMS,0,T,8,6,LineString,"[[11551765.592041595, 144183.60780534265], [11551773.283479102, 144182.75320117598]]"
5,AS2-Level3-Stair2,AS2-Level3-Stair2-Entrance,W,AS2_L3_ROOMS,0,T,8,6,LineString,"[[11551773.283479102, 144182.75320117598], [11551765.592041595, 144183.60780534265]]"
7,AS2-Level3-Stair2-Entrance,AS2-0302-Entrance,E,AS2_L3_ROOMS,0,T,72,54,LineString,"[[11551765.592041595, 144183.60780534265], [11551767.735608716, 144182.14063845878], [11551782.885208268, 144176.7709720092], [11551830.79331244, 144201.554492843]]"
7,AS2-0302-Entrance,AS2-Level3-Stair2-Entrance,W,AS2_L3_ROOMS,0,T,72,54,LineString,"[[11551830.79331244, 144201.554492843], [11551782.885208268, 144176.7709720092], [11551767.735608716, 144182.14063845878], [11551765.592041595, 144183.60780534265]]"
8,AS2-0302-Entrance,AS2-0302,N,AS2_L3_ROOMS,0,T,3,2,LineString,"[[11551830.79331244, 144201.554492843], [11551829.486270769, 144203.71613867633]]"
8,AS2-0302,AS2-0302-Entrance,S,AS2_L3_ROOMS,0,T,3,2,LineString,"[[11551829.486270769, 144203.71613867633], [11551830.79331244, 144201.554492843]]"
9,AS2-Level3-Stair1,AS2-Level3-Stair1-Entrance,S,AS2_L3_ROOMS,0,T,2,1,LineString,"[[11551767.7034166, 144188.9867845094], [11551766.847342553, 144186.7915601742]]"
9,AS2-Level3-Stair1-Entrance,AS2-Level3-Stair1,N,AS2_L3_ROOMS,0,T,2,1,LineString,"[[11551766.847342553, 144186.7915601742], [11551767.7034166, 144188.9867845094]]"
10,AS2-Level3-Stair1-Entrance,AS2-Level3-Stair2-Entrance,S,AS2_L3_ROOMS,0,T,3,2,LineString,"[[11551766.847342553, 144186.7915601742], [11551765.592041595, 144183.60780534265]]"
